d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad
50000,Toluca de Lerdo Centro,Colonia,Toluca,México,Toluca de Lerdo
50010,Celanese,Colonia,Toluca,México,Toluca de Lerdo
50010,Club Jardín,Colonia,Toluca,México,Toluca de Lerdo
50010,Guadalupe,Colonia,Toluca,México,Toluca de Lerdo
50010,La Cruz Comalco,Colonia,Toluca,México,Toluca de Lerdo
50010,La Magdalena,Colonia,Toluca,México,Toluca de Lerdo
50010,Los Girasoles,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,Los Girasoles II,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,Los Girasoles III,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,Los Girasoles IV,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,San Lorenzo Tepaltitlán Centro,Colonia,Toluca,México,Toluca de Lerdo
50010,Tlacopa,Barrio,Toluca,México,Toluca de Lerdo
50010,Universidad,Colonia,Toluca,México,Toluca de Lerdo
50010,San Angelín,Barrio,Toluca,México,Toluca de Lerdo
50010,Galaxias de San Lorenzo,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,El Tejocote,Colonia,Toluca,México,Toluca de Lerdo
50010,El Balcón,Colonia,Toluca,México,Toluca de Lerdo
50010,Los Girasoles I,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,San Juan de la Cruz,Colonia,Toluca,México,Toluca de Lerdo
50010,Hacienda San Agustín,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,La Loma,Barrio,Toluca,México,Toluca de Lerdo
50010,Del Panteón,Barrio,Toluca,México,Toluca de Lerdo
50010,Villas Tepaltitlán,Fraccionamiento,Toluca,México,Toluca de Lerdo
50010,Gran Morada,Fraccionamiento,Toluca,México,Toluca de Lerdo
50016,Jardines de la Crespa,Unidad habitacional,Toluca,México,Toluca de Lerdo
50016,Parque industrial San Antonio,Zona industrial,Toluca,México,Toluca de Lerdo
50016,De la Crespa,Barrio,Toluca,México,Toluca de Lerdo
50017,Las Brisas,Fraccionamiento,Toluca,México,Toluca de Lerdo
50017,Rincón de San Lorenzo,Colonia,Toluca,México,Toluca de Lerdo
50018,Las Flores,Fraccionamiento,Toluca,México,Toluca de Lerdo
50018,San Antonio,Colonia,Toluca,México,Toluca de Lerdo
50018,El Mogote,Barrio,Toluca,México,Toluca de Lerdo
50019,San Rafael,Colonia,Toluca,México,Toluca de Lerdo
50019,El Charco,Barrio,Toluca,México,Toluca de Lerdo
50020,Bosques de la Mora,Fraccionamiento,Toluca,México,Toluca de Lerdo
50020,Los Ángeles,Colonia,Toluca,México,Toluca de Lerdo
50020,Los Frailes,Fraccionamiento,Toluca,México,Toluca de Lerdo
50020,Rancho la Mora,Colonia,Toluca,México,Toluca de Lerdo
50020,Rinconada de la Mora,Fraccionamiento,Toluca,México,Toluca de Lerdo
50020,Santiago Miltepec,Pueblo,Toluca,México,Toluca de Lerdo
50020,3 Caminos,Colonia,Toluca,México,Toluca de Lerdo
50020,Valle de Santiago Residencial,Fraccionamiento,Toluca,México,Toluca de Lerdo
50026,Carlos Hank González,Colonia,Toluca,México,Toluca de Lerdo
50040,La Retama,Barrio,Toluca,México,Toluca de Lerdo
50040,La Teresona,Barrio,Toluca,México,Toluca de Lerdo
50040,Unión,Colonia,Toluca,México,Toluca de Lerdo
50040,San Luis Obispo,Barrio,Toluca,México,Toluca de Lerdo
50040,San Miguel Apinahuizco,Barrio,Toluca,México,Toluca de Lerdo
50040,Sector Popular,Colonia,Toluca,México,Toluca de Lerdo
50040,Sor Juana Inés de la Cruz,Colonia,Toluca,México,Toluca de Lerdo
50040,Electricistas Locales,Colonia,Toluca,México,Toluca de Lerdo
50050,El Cóporo,Barrio,Toluca,México,Toluca de Lerdo
50050,Santa Bárbara,Barrio,Toluca,México,Toluca de Lerdo
50050,Zopilocalco Sur,Barrio,Toluca,México,Toluca de Lerdo
50050,Zopilocalco Norte,Barrio,Toluca,México,Toluca de Lerdo
50060,Doctores,Colonia,Toluca,México,Toluca de Lerdo
50060,Lomas Altas,Fraccionamiento,Toluca,México,Toluca de Lerdo
50060,Niños Héroes (Pensiones),Colonia,Toluca,México,Toluca de Lerdo
50060,San Juan Buenavista,Colonia,Toluca,México,Toluca de Lerdo
50060,Huitzila,Barrio,Toluca,México,Toluca de Lerdo
50070,Independencia,Colonia,Toluca,México,Toluca de Lerdo
50070,Meteoro,Colonia,Toluca,México,Toluca de Lerdo
50070,Villas Fontana I,Fraccionamiento,Toluca,México,Toluca de Lerdo
50070,Villas Fontana II,Fraccionamiento,Toluca,México,Toluca de Lerdo
50070,Fidel Velázquez,Unidad habitacional,Toluca,México,Toluca de Lerdo
50070,Reforma y Ferrocarriles Nacionales,Colonia,Toluca,México,Toluca de Lerdo
50071,Toluca,Zona industrial,Toluca,México,Toluca de Lerdo
50075,Las Torres,Fraccionamiento,Toluca,México,Toluca de Lerdo
50075,Científicos,Colonia,Toluca,México,Toluca de Lerdo
50080,La Merced  (Alameda),Barrio,Toluca,México,Toluca de Lerdo
50080,San Bernardino,Barrio,Toluca,México,Toluca de Lerdo
50090,5 de Mayo,Colonia,Toluca,México,Toluca de Lerdo
50090,Santa Clara,Barrio,Toluca,México,Toluca de Lerdo
50100,Bosques de San Mateo,Colonia,Toluca,México,Toluca de Lerdo
50100,14 de Diciembre,Colonia,Toluca,México,Toluca de Lerdo
50100,El Trigo,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,La Joya,Colonia,Toluca,México,Toluca de Lerdo
50100,La Ribera I,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,La Ribera II,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,La Ribera III,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,La Ribera IV,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,Miguel Hidalgo (Corralitos),Colonia,Toluca,México,Toluca de Lerdo
50100,Niños Héroes,Colonia,Toluca,México,Toluca de Lerdo
50100,Nueva Oxtotitlán,Colonia,Toluca,México,Toluca de Lerdo
50100,Parque de San Mateo,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,Parques Nacionales,Colonia,Toluca,México,Toluca de Lerdo
50100,Protinbos,Colonia,Toluca,México,Toluca de Lerdo
50100,Rincón del Parque,Colonia,Toluca,México,Toluca de Lerdo
50100,San Mateo Oxtotitlán,Colonia,Toluca,México,Toluca de Lerdo
50100,Ex-Hacienda San Jorge,Fraccionamiento,Toluca,México,Toluca de Lerdo
50100,Lomas de San Mateo,Fraccionamiento,Toluca,México,Toluca de Lerdo
50103,Tlayaca,Barrio,Toluca,México,Toluca de Lerdo
50103,Tlanepantla,Barrio,Toluca,México,Toluca de Lerdo
50103,Atotonilco,Barrio,Toluca,México,Toluca de Lerdo
50110,Cultural,Colonia,Toluca,México,Toluca de Lerdo
50110,Del Deporte,Colonia,Toluca,México,Toluca de Lerdo
50110,Guadalupe San Buenaventura,Colonia,Toluca,México,Toluca de Lerdo
50110,Plazas de San Buenaventura,Fraccionamiento,Toluca,México,Toluca de Lerdo
50110,San Buenaventura,Colonia,Toluca,México,Toluca de Lerdo
50110,Vicente Guerrero,Colonia,Toluca,México,Toluca de Lerdo
50110,Villas de San Buenaventura,Fraccionamiento,Toluca,México,Toluca de Lerdo
50110,Real del Bosque,Fraccionamiento,Toluca,México,Toluca de Lerdo
50115,Loma Bonita,Colonia,Toluca,México,Toluca de Lerdo
50120,Ciprés,Colonia,Toluca,México,Toluca de Lerdo
50120,Federal (Adolfo López Mateos),Colonia,Toluca,México,Toluca de Lerdo
50120,Granjas,Colonia,Toluca,México,Toluca de Lerdo
50120,Morelos 1a Sección,Colonia,Toluca,México,Toluca de Lerdo
50120,Morelos 2a Secc,Colonia,Toluca,México,Toluca de Lerdo
50120,Residencial Colón,Fraccionamiento,Toluca,México,Toluca de Lerdo
50122,Zona Militar,Zona federal,Toluca,México,Toluca de Lerdo
50123,Paseo Tollocan INFONAVIT,Fraccionamiento,Toluca,México,Toluca de Lerdo
50130,Altamirano,Colonia,Toluca,México,Toluca de Lerdo
50130,Américas,Colonia,Toluca,México,Toluca de Lerdo
50130,Cuauhtémoc,Colonia,Toluca,México,Toluca de Lerdo
50130,Francisco Murguía El Ranchito,Colonia,Toluca,México,Toluca de Lerdo
50130,Universidad,Colonia,Toluca,México,Toluca de Lerdo
50140,Nueva Santa María de las Rosas,Colonia,Toluca,México,Toluca de Lerdo
50140,Nueva Santa María,Colonia,Toluca,México,Toluca de Lerdo
50140,Santa María de las Rosas,Colonia,Toluca,México,Toluca de Lerdo
50140,Valle Don Camilo,Fraccionamiento,Toluca,México,Toluca de Lerdo
50140,Valle Verde,Colonia,Toluca,México,Toluca de Lerdo
50140,Villas Florencia,Fraccionamiento,Toluca,México,Toluca de Lerdo
50140,Terminal,Colonia,Toluca,México,Toluca de Lerdo
50150,San Sebastián,Barrio,Toluca,México,Toluca de Lerdo
50150,Izcalli IPIEM,Colonia,Toluca,México,Toluca de Lerdo
50150,Izcalli Toluca,Colonia,Toluca,México,Toluca de Lerdo
50150,Juan Beltrán,Conjunto habitacional,Toluca,México,Toluca de Lerdo
50150,Progreso,Colonia,Toluca,México,Toluca de Lerdo
50150,Salvador Sánchez Colín,Colonia,Toluca,México,Toluca de Lerdo
50150,Vértice,Fraccionamiento,Toluca,México,Toluca de Lerdo
50150,Comisión Federal de Electricidad,Colonia,Toluca,México,Toluca de Lerdo
50160,Santa Ana Tlapaltitlán,Colonia,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana I,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana II,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana III,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana IV,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana V,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana VI,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana VII,Fraccionamiento,Toluca,México,Toluca de Lerdo
50160,Villas de Santa Ana,Fraccionamiento,Toluca,México,Toluca de Lerdo
50168,La Machincuepa,Fraccionamiento,Toluca,México,Toluca de Lerdo
50168,Santa María Zozoquilpan,Colonia,Toluca,México,Toluca de Lerdo
50170,Héroes del 5 de Mayo,Colonia,Toluca,México,Toluca de Lerdo
50170,Isidro Fabela 1a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,Las Haciendas,Fraccionamiento,Toluca,México,Toluca de Lerdo
50170,Ocho Cedros,Colonia,Toluca,México,Toluca de Lerdo
50170,El Seminario 1a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,El Seminario 2a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,El Seminario 3a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,El Seminario 4a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,El Seminario 5a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,Villa Hogar,Colonia,Toluca,México,Toluca de Lerdo
50170,Villas el Limoncito,Fraccionamiento,Toluca,México,Toluca de Lerdo
50170,Isidro Fabela 2a Sección,Colonia,Toluca,México,Toluca de Lerdo
50170,Ocho Cedros 2a Sección,Colonia,Toluca,México,Toluca de Lerdo
50180,Azteca,Colonia,Toluca,México,Toluca de Lerdo
50180,Bosques de Colón,Fraccionamiento,Toluca,México,Toluca de Lerdo
50180,Del Parque,Colonia,Toluca,México,Toluca de Lerdo
50180,Hermanos de la Vega,Colonia,Toluca,México,Toluca de Lerdo
50180,Lázaro Cárdenas,Colonia,Toluca,México,Toluca de Lerdo
50180,Ampliación Lázaro Cárdenas,Colonia,Toluca,México,Toluca de Lerdo
50180,Moderna de la Cruz,Colonia,Toluca,México,Toluca de Lerdo
50190,La Magdalena,Colonia,Toluca,México,Toluca de Lerdo
50190,Benito Juárez,Colonia,Toluca,México,Toluca de Lerdo
50190,Emiliano Zapata,Colonia,Toluca,México,Toluca de Lerdo
50190,Eva Sámano de López Mateos,Colonia,Toluca,México,Toluca de Lerdo
50190,Unidad Victoria,Colonia,Toluca,México,Toluca de Lerdo
50200,San Cristóbal Huichochitlán,Pueblo,Toluca,México,
50200,San Andrés Cuexcontitlán,Pueblo,Toluca,México,
50200,La Trinidad,Colonia,Toluca,México,
50200,Barrio San Gabriel,Colonia,Toluca,México,
50200,Armando Neyra Chavez,Colonia,Toluca,México,
50200,Natividad,Colonia,Toluca,México,
50200,La Concepción,Colonia,Toluca,México,
50200,Santa Rosa,Colonia,Toluca,México,
50200,San José Guadalupe,Colonia,Toluca,México,
50200,San Salvador,Colonia,Toluca,México,
50200,Paseos del Pilar,Fraccionamiento,Toluca,México,
50205,Jicaltepec Cuexcontitlán,Colonia,Toluca,México,
50205,San Diego de los Padres Cuexcontitlán,Colonia,Toluca,México,
50205,San Diego de los Padres Otzacatipan,Ejido,Toluca,México,
50206,San Diego Linares,Pueblo,Toluca,México,
50206,La Loma Cuexcontitlán,Ejido,Toluca,México,
50209,Toluca (Lic. Adolfo López Mateos),Aeropuerto,Toluca,México,
50210,Los Sauces I,Fraccionamiento,Toluca,México,
50210,Los Sauces II,Fraccionamiento,Toluca,México,
50210,Los Sauces III,Fraccionamiento,Toluca,México,
50210,Ex Hacienda San José,Fraccionamiento,Toluca,México,
50210,Santa Cruz Otzacatipan,Colonia,Toluca,México,
50210,Los Sauces IV,Colonia,Toluca,México,
50210,Los Sauces V,Fraccionamiento,Toluca,México,
50210,Villas de la Hacienda 1a. Sección,Fraccionamiento,Toluca,México,
50210,Hacienda del Valle II,Fraccionamiento,Toluca,México,
50210,Bosques de Cantabria,Fraccionamiento,Toluca,México,
50210,La Magdalena Otzacatipan,Barrio,Toluca,México,
50210,Villas de la Hacienda 2a. Sección,Fraccionamiento,Toluca,México,
50210,Villa Mane,Fraccionamiento,Toluca,México,
50210,Hacienda del Valle I,Fraccionamiento,Toluca,México,
50210,Rancho San José,Conjunto habitacional,Toluca,México,
50214,Villas Santín,Fraccionamiento,Toluca,México,
50214,Balcones Santín,Fraccionamiento,Toluca,México,
50214,Paseos Santín,Fraccionamiento,Toluca,México,
50220,San Mateo Otzacatipan,Pueblo,Toluca,México,
50220,Villa Tulipanes,Fraccionamiento,Toluca,México,
50220,Villas de San Mateo,Fraccionamiento,Toluca,México,
50220,De Canaleja,Barrio,Toluca,México,
50223,Parque industrial Exportec II,Zona industrial,Toluca,México,
50223,Parque industrial Exportec I,Zona industrial,Toluca,México,
50225,San Miguel Totoltepec,Pueblo,Toluca,México,
50225,Geovillas Centenario,Fraccionamiento,Toluca,México,
50225,Nueva San Francisco,Colonia,Toluca,México,
50225,Bordo de las Canastas,Fraccionamiento,Toluca,México,
50226,San Pedro Totoltepec,Pueblo,Toluca,México,
50226,Villas Santa María (Galaxia),Colonia,Toluca,México,
50226,La Arboleda II,Fraccionamiento,Toluca,México,
50226,La Arboleda III,Fraccionamiento,Toluca,México,
50227,La Floresta,Fraccionamiento,Toluca,México,
